network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,postal_code,latitude,longitude,accuracy_radius
600:8801:9400:5a1:948b:ab15:dde3:61a3/128,5363990,,,0,0,91941,32.7596,-116.9940,100
2001:5::/32,6255148,,,0,0,,47.0000,8.0000,100
2001:200::/40,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:100::/42,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:140::/43,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:160::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:164::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:166::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:167::/49,1848354,1861060,,0,0,231-0021,35.4478,139.6425,100
2001:200:167:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:168::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:170::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:180::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:180:8000::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:200:181::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:182::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:184::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:188::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:190::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:1a0::/43,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:1c0::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:200:1c0:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:1c1::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:1c2::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:1c4::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:1c8::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:1d0::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:1e0::/43,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:200::/39,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:400::/39,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:600::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:601::/49,6822159,1861060,,0,0,350-0023,35.9020,139.5249,100
2001:200:601:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:602::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:604::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:608::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:610::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:620::/43,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:640::/42,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:680::/41,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:700::/40,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:800::/37,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:1000::/36,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:2000::/35,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:4000::/34,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:200:8000::/33,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:208::/46,1880251,1880251,,0,0,,1.3667,103.8000,100
2001:208:4::/48,1880251,1880251,,0,0,,1.3667,103.8000,100
2001:208:5::/49,1880252,1880251,,0,0,,1.2855,103.8565,100
2001:208:5:8000::/49,1880251,1880251,,0,0,,1.3667,103.8000,100
2001:208:6::/47,1880251,1880251,,0,0,,1.3667,103.8000,100
2001:208:8::/45,1880251,1880251,,0,0,,1.3667,103.8000,100
2001:208:10::/44,1880251,1880251,,0,0,,1.3667,103.8000,100
2001:208:20::/43,1880251,1880251,,0,0,,1.3667,103.8000,100
2001:208:40::/42,1880251,1880251,,0,0,,1.3667,103.8000,100
2001:208:80::/41,1880251,1880251,,0,0,,1.3667,103.8000,100
2001:208:100::/40,1880251,1880251,,0,0,,1.3667,103.8000,100
2001:208:200::/39,1880251,1880251,,0,0,,1.3667,103.8000,100
2001:208:400::/38,1880251,1880251,,0,0,,1.3667,103.8000,100
2001:208:800::/37,1880251,1880251,,0,0,,1.3667,103.8000,100
2001:208:1000::/36,1880251,1880251,,0,0,,1.3667,103.8000,100
2001:208:2000::/35,1880251,1880251,,0,0,,1.3667,103.8000,100
2001:208:4000::/34,1880251,1880251,,0,0,,1.3667,103.8000,100
2001:208:8000::/33,1880251,1880251,,0,0,,1.3667,103.8000,100
2001:218::/32,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:220::/36,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:220:1000::/38,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:220:1400::/46,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:220:1404::/49,1835848,1835841,,0,0,,37.5111,126.9743,100
2001:220:1404:8000::/49,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:220:1405::/48,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:220:1406::/47,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:220:1408::/45,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:220:1410::/44,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:220:1420::/43,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:220:1440::/42,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:220:1480::/41,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:220:1500::/40,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:220:1600::/39,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:220:1800::/37,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:220:2000::/35,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:220:4000::/34,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:220:8000::/33,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:230::/32,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:238::/32,1668284,1668284,,0,0,,23.5000,121.0000,100
2001:240::/40,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:100::/43,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:120::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:130::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:138::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:139::/49,1848373,1861060,,0,0,510-0074,34.9667,136.6167,100
2001:240:139:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:13a::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:13c::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:140::/43,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:160::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:168::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:168:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:169::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:16a::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:16c::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:170::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:180::/41,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:200::/39,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:400::/38,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:800::/37,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:1000::/38,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:1400::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:1408::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:1408:8000::/49,1848354,1861060,,0,0,231-0021,35.4478,139.6425,100
2001:240:1409::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:140a::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:140c::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:1410::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:1420::/43,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:1440::/42,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:1480::/41,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:1500::/40,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:1600::/39,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:1800::/37,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2000::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2008::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2009::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2009:8000::/49,2128295,1861060,,0,0,,43.0642,141.3469,100
2001:240:200a::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:200c::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2010::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2020::/43,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2040::/42,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2080::/41,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2100::/41,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2180::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2188::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:218c::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:218d::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:218d:8000::/49,1859642,1861060,,0,0,210-0835,35.5206,139.7172,100
2001:240:218e::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2190::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2194::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:2194:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2195::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:2195:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2196::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2198::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2199::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:2199:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:219a::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:219c::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:219d::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:219d:8000::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:219e::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:21a0::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:21b0::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:21b8::/49,1848354,1861060,,0,0,231-0021,35.4478,139.6425,100
2001:240:21b8:8000::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:21b9::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:21ba::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:21bc::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:21c0::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:21c8::/49,6822209,1861060,,0,0,464-0036,35.1658,136.9640,100
2001:240:21c8:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:21c9::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:21ca::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:21cc::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:21d0::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:21e0::/43,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2200::/39,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2400::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2401::/48,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:2402::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2403::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:2403:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2404::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2408::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2410::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2420::/43,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2440::/42,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2480::/41,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2500::/40,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2600::/39,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2800::/43,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2820::/49,1849053,1861060,,0,0,320-0027,36.5658,139.8836,100
2001:240:2820:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2821::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2822::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2824::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2826::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2826:8000::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:2827::/49,6940394,1861060,,0,0,330-0063,35.8569,139.6489,100
2001:240:2827:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2828::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2830::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2840::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2848::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:284c::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:284e::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:284f::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:284f:8000::/49,1848354,1861060,,0,0,231-0021,35.4478,139.6425,100
2001:240:2850::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2860::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2868::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:286c::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:286d::/49,1849814,1861060,,0,0,471-0034,35.0833,137.1500,100
2001:240:286d:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:286e::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2870::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2880::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2881::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2881:8000::/49,1857910,1861060,,0,0,602-8016,35.0214,135.7556,100
2001:240:2882::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2884::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2888::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2888:8000::/49,6697563,1861060,,0,0,575-0001,34.7500,135.6333,100
2001:240:2889::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:288a::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:288c::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2890::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2898::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2899::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2899:8000::/49,1859170,1861060,,0,0,629-2502,35.6000,135.1000,100
2001:240:289a::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:289c::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:28a0::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:28a8::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:28ac::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:28ac:8000::/49,1848354,1861060,,0,0,231-0021,35.4478,139.6425,100
2001:240:28ad::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:28ae::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:28b0::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:28c0::/42,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2900::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2901::/49,2128295,1861060,,0,0,,43.0642,141.3469,100
2001:240:2901:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2902::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2904::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2908::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2910::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2920::/43,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2940::/42,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2980::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2988::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:2988:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2989::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:298a::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:298c::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:298e::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:298e:8000::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:298f::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2990::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2992::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:2992:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2993::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2994::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2995::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2995:8000::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:2996::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2998::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2999::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:2999:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:299a::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:299b::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:299b:8000::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:299c::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29a0::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29a2::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:29a2:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29a3::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:29a3:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29a4::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29a6::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29a7::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:29a7:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29a8::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29ac::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:29ac:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29ad::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29ae::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29b0::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29c0::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29d0::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29d4::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29d5::/49,1859642,1861060,,0,0,210-0835,35.5206,139.7172,100
2001:240:29d5:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29d6::/49,1848354,1861060,,0,0,231-0021,35.4478,139.6425,100
2001:240:29d6:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29d7::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29d8::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29dc::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29dd::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29dd:8000::/49,1848354,1861060,,0,0,231-0021,35.4478,139.6425,100
2001:240:29de::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29df::/49,1864092,1861060,,0,0,251-0052,35.3419,139.4700,100
2001:240:29df:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29e0::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29e8::/49,1848354,1861060,,0,0,231-0021,35.4478,139.6425,100
2001:240:29e8:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29e9::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29ea::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29ec::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29ee::/49,1848354,1861060,,0,0,231-0021,35.4478,139.6425,100
2001:240:29ee:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29ef::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29f0::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a00::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a08::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a0a::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a0b::/49,1855431,1861060,,0,0,950-0965,37.9022,139.0236,100
2001:240:2a0b:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a0c::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a10::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a20::/49,1856215,1861060,,0,0,380-0837,36.6514,138.1811,100
2001:240:2a20:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a21::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a22::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a24::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a28::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a30::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a40::/43,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a60::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a70::/49,1853909,1861060,,0,0,540-0008,34.6864,135.5200,100
2001:240:2a70:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a71::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a72::/49,1853909,1861060,,0,0,540-0008,34.6864,135.5200,100
2001:240:2a72:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a73::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a74::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a76::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2a77::/49,1853909,1861060,,0,0,540-0008,34.6864,135.5200,100
2001:240:2a77:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
